btc_height,btc_hash,in_upstream,first_seen_chain
267281,000000000000000ad5b2f565ed6afb0f8ba8a8af1a5a56c95467302f782185a1,yes,
268298,00000000000000049a7893d061f141f333b29425304fe6adec7c60415d2beb82,yes,namecoin
268409,0000000000000006365b484c22737c797ecff672ce71d850887f2f3f9183951e,yes,namecoin
268547,0000000000000003e0ac92042c5381e0904f10427107e7229756d1acf4a7cf08,yes,namecoin
268560,0000000000000001463d6ac3ac983be23d0e593fac81dd10f789b84b0050d78d,yes,namecoin
268692,0000000000000002c5d92080a5d3e102ca31859db4572d7c57f952cc9d5120d4,yes,
268727,000000000000000863a9a10619f4cd26c2175d6ee30902f6e6e85cfcf602e687,yes,namecoin
268830,000000000000000365d9816b152695150aa3986a37471fd5b59c8e5631abbff9,yes,
268917,0000000000000004f94e814fe98e583deb97bf284cc86ec0ed06405b55306a36,yes,namecoin
270011,00000000000000073ad697c1fbe65f7294770c8b214a1f5f751e69ab44fc9d0a,yes,namecoin
270062,0000000000000007d3bee9d624f60f69e1c9cc278022306c0174d2d937fdb947,no,
270752,00000000000000012ad03ed32dd39eecd999939e4fcf1c842b3e1649c059acd2,yes,namecoin
270763,00000000000000038f52e1f7a8427ba89e25ae906c73beb7a373e4bda2b270b7,no,
270900,0000000000000000cead321eaea575563ad911e9ee17dc17ba8756342c60ec4e,no,
271330,00000000000000069d4eec81b9c4fe7fb5fcfc6d3e240018bf91f8fda671ac93,no,
271429,0000000000000006d9267bbc2da0dcb0e492bca460e9e7e38551bdd5cd185985,no,
271433,00000000000000057bd037e1643a5cdfa0cecc6c906da76139f80e282f3a1aea,yes,
271665,000000000000000648f10ea7d68a4a984d6335907c44114e84b34f4603353d6d,yes,namecoin
272157,0000000000000001e9b264dffb36981be5d1039b6ddfe21f951615d5bed524f0,yes,
272189,0000000000000000330d63457ce2b78fed3ac6acb5ef76bcb1b459484fba26ba,yes,i0coin
272250,000000000000000293a4633afc7c20053440e8c6f7be69b336efc15ebdb7f97a,yes,
272678,00000000000000043cd050725a834fb2261e7e0aed26bd0279c2d70c1cf7f967,no,
272723,000000000000000117b0d7dea9833999c8380f93dd792a803086cf43f9e75e37,yes,
272728,0000000000000002912dd20b0b43880aa99c783d00ae7f22586e3e7dfa08cb08,yes,namecoin
272936,000000000000000033571c0d48742ec2adb834422bdfc17137819f085bec3f2b,yes,namecoin
273147,0000000000000000980f549bd9a592d0aca2ed6d4b97ebfea6b5468f754c70ef,yes,
273304,000000000000000144856df3690710cd1434d8ee618de3d13ec48ada6d654738,yes,
273425,00000000000000025caa39570282f15bd9be8fbeeb8369b7ef80751dbc21c2dc,yes,
273676,000000000000000364612ef13338dbf1e8a63d8d00fc3a4c2d46fbe11eb32dad,yes,
274132,00000000000000048b46354acff48e51efb6aa6a511affee937dc0e0991c9e53,yes,
274321,0000000000000002b20ca7ff612411b9f8955895075316e3e391d7b5fa19e282,yes,
274530,00000000000000049249f41427d47a03ebaf7040dd07e4e29bf676f9f921884b,yes,namecoin
274539,00000000000000010667d009e430c8ecd250a3fe177d5c47dd84b13514a97632,yes,namecoin
