btc_height,btc_hash,in_upstream,first_seen_chain
330937,000000000000000012ac8cec3a9454ded9b2d754ce4c89ee3f5e7e49428a6d3c,yes,namecoin
330989,0000000000000000100222909a335d030af3270e6b829b3db2de020208163552,yes,namecoin
331655,000000000000000016c6596f6e3972236b53fa37af60687ba9ad25eca441d46f,yes,namecoin
333279,000000000000000011a9947e415dac9b52c56160159f842c2af6fc22b62bc720,yes,namecoin
334042,00000000000000001539e9d5343d300f0b2084d708f810bbc4a1b0413a75a346,yes,namecoin
336494,00000000000000000fd967e156c653626dff832374fe226902d1f504e1ca92f6,yes,namecoin
336914,000000000000000008a17e661da2b994b7e9f1a669cb0be0da6793fbf42ed69c,yes,namecoin
339562,00000000000000000cea0bee1bfff976275a414a9928bed62c891bf541b5ff0c,yes,namecoin
340832,0000000000000000083b6ed8434e156a623a90fccdfa61206f7b6617cf103c4a,yes,namecoin
342086,0000000000000000137559b21a1ef00ea5e4c1d7c23f8127238f6bcee197c460,yes,namecoin
342411,00000000000000000bd82bf0d9829e0ed83e9f7af830f46ec9b7c031d6cdd05b,yes,namecoin
342894,0000000000000000107d44a08b8ac2c49ff63e21db1b2e25bf52c39ae01093c2,yes,namecoin
343934,000000000000000011ada6c47ad9f91e73b6c8e6c5749eef721af988400746ca,yes,
344949,0000000000000000047b1d4d9fe55b1f760ccebd18b6c0df6f44ec8e109fe26c,yes,
345455,00000000000000000fe0f4a6e578141b78a6ec4c87ca4821e875dc032da53536,no,
346319,0000000000000000051df08a973095ac3e4db9fcf55aabba3c869d3eb588cf3f,yes,namecoin
348877,00000000000000000b11dfec7092965d1efd63ef9892799228aa9c5b08376389,yes,namecoin
349299,00000000000000000ab163de1c6fb54ead7f42331bd0304c8648979434030e52,yes,namecoin
350391,000000000000000014c96948ae6b331428cb984abf7b9659dcd091c5d8e03bb4,yes,namecoin
351124,0000000000000000088e15c6dbd57866931d0b5a68b975e561e2535f5b58bc2f,yes,namecoin
352802,00000000000000000c6d59c30f727419375c55cbc88344b8425b295b7e44eb65,yes,namecoin
353339,0000000000000000104fc42b25b47fd0c735f5c149d5684cdc2c7a1024cbfe0b,yes,namecoin
356381,000000000000000005e60a3c97841d0e876a8cef9126f3fcc721591c866de3d3,yes,namecoin
357309,000000000000000014c6ca0b3d3311e96cac9207072736034fac8bd0ec28da2f,yes,namecoin
357427,000000000000000007a0ac307aedd792541e933262cfccdd0b40d9270e49f813,yes,namecoin
359234,00000000000000000dd889807f25225b494a908da187b935d43bb6f79851b943,yes,namecoin
360057,000000000000000016abf022448c6d53d29c79f3f7352cf920e103fbf0835078,yes,namecoin
363959,00000000000000001262efe584ec7ac039dba15b56d6ed239249c483636b15ef,yes,namecoin
364418,000000000000000001b9c10b4b84de74e21cb6428e82bc069f96f80ebf667637,yes,namecoin
365633,000000000000000011ed38b549c7baa06334467f087bb09c272d99be9d34ad41,yes,namecoin
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,no,
