btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,nmc_height,classification,validation_status,expected_nbits,btc_bip34_height,btc_parent_height,nbits_match,post_bch_fork
155361,0000000000000d8e7fbc786b66c27ea120e39baa254b32842efa74ca93688cc5,00000000000003b1c9b7ab1d2f3ecd720f2db247fe844d65e073b41876a81243,1322653505,1a0f61b1,04b1610f1a020018522cfabe6d6dfd0903a6f1c4afaa933b5c0405824a8ce8f07d053dc43ac6f2c439c0b8e298cb0100000000000000,,010000004312a87618b473e0654d84fe47b22d0f72cd3e2f1dabb7c9b1030000000000007d2f99041ab4a20bfbe15e708460cf2f648363b497ca91a5e496dfdaaee3bd384117d64eb1610f1a8c728ea5,31107,stale,VALID,1a0f61b1,,155360,true,false
155415,0000000000000eaf2b20207992644076d134d4d9ba88be0227b879c7bcd3ef4c,000000000000008ca8ca01bc2a14ff6a1b214923443a874c117fe7dc84ee92c0,1322680564,1a0f61b1,04b1610f1a02722c522cfabe6d6dca5c29d1768f5b4982ac07fd9642ce1ff4e37d89191d3968d831c133ae4aaefa0100000000000000,,01000000c092ee84dce77f114c873a442349211b6aff142abc01caa88c00000000000000f8b3de6846ea698ea06e7613b92b3bdb266a8bf63ffdcb069cc1fe7961a213a7f480d64eb1610f1ab539f325,31148,stale,VALID,1a0f61b1,,155414,true,false
153211,0000000000000681551e642ecc0344ff5cf8a8f553da7849879008dc39a0b412,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322713542,1a0df0ca,70736a04caf00d1a0416439c31522cfabe6d6d6c06bc8ee0eaff4209be29ff3090685a2f101d32a8ebfe1df12a275588d0739601000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000c6532a1d3dcb5e16cfed5503c827f067acebdf3a116071e3a4c8f7db4770f69dc601d74ecaf00d1a1f319cbd,31200,stale,VALID,1a0df0ca,,153210,true,false
155677,0000000000000cdf4862d0b02083b7d2d3718295fb17b994270a5c32577a6e7d,00000000000001b81fe049991bb39e40bc22c9e06139bfe1c7c38b5be0f98416,1322805698,1a0f61b1,04b1610f1a0117522cfabe6d6d275555ff65deb0c974a88c22e0d695e7bfd6a6bc46bf5c38e31d640a6dae96e30100000000000000,,010000001684f9e05b8bc3c7e1bf3961e0c922bc409eb31b9949e01fb801000000000000942237b448df2311ca798fd5526d5100c09a1edfd6280548195111df0cfc594cc269d84eb1610f1a186c9a7c,31375,stale,VALID,1a0f61b1,,155676,true,false
153211,000000000000089430a8d8ef5f580ca85437eb300ee46e9c51281ce8cc6250e7,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322866579,1a0df0ca,70736a04caf00d1a04c0391236522cfabe6d6d19224f79739f5e0f7eba8cbac4b5b6edc93506b94e36055bcead0991f0d6ae6601000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000e70390f97f1e810a039d55c0936c7edaaa778b7cb1172688d4ff55f4b0e5ae579357d94ecaf00d1a003dcf49,31488,stale,VALID,1a0df0ca,,153210,true,false
153211,00000000000000f3ec5c1ea18cd3baf62e738cd7b8b71955d0cc8d83192861dc,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1323018363,1a0df0ca,70736a04caf00d1a042070d139522cfabe6d6d46f6100f641a5ecec2cafaf072dd973d9358ba669a0d1e3e9f29c69bf0fd9dd101000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d0000000000006daec842f39eccaa492b5dfe576666134fa46e7582c01f3c43879aee6058a3ff7ba8db4ecaf00d1a032e8700,31770,stale,VALID,1a0df0ca,,153210,true,false
153211,00000000000006e15476ca3481051acdba585b798b71873495078dd76bd3a811,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1323081366,1a0df0ca,70736a04caf00d1a042b5b593b522cfabe6d6d514ced6b55ef4c4e746641928f9eb3d92071a9773d320974ac47b3f00d1b4d7601000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000ca2ddd6963a38d16edbd58534e1df7ffafe185b66f8a25c2b3181cf6b850e518969edc4ecaf00d1a0ce5c7a2,31882,stale,VALID,1a0df0ca,,153210,true,false
156186,0000000000000e534aaa42e53f5f47aceb8a01d4cddf50c5aaeecacaaa0260a5,0000000000000cd1aa2e6689db4a55b02e1b3d8ab57bd3f9403da117dfe1a43c,1323104076,1a0f61b1,04b1610f1a022247522cfabe6d6da305358565cb6641ced5327646e80d6c4f70ee77387ee3686f19cd56c99d4a550100000000000000,,010000003ca4e1df17a13d40f9d37bb58a3d1b2eb0554adb89662eaad10c00000000000095cea5341dc90a3967fa11d527ad63d7df237ca917ccc2a9c6be7b6db51673334cf7dc4eb1610f1afe74b462,31926,stale,VALID,1a0f61b1,,156185,true,false
153211,00000000000000b839c3ce4039c0f29753b24069fb06c0aa8e0bcd1356b7f167,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1323127183,1a0df0ca,70736a04caf00d1a04aa95c83c522cfabe6d6d0df38e0d953cebb534fdde998cb0cd16ef9b55ce0ff1b0a0f398f6cad8a1d47501000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d00000000000026f1ed2a67c13f30b29ab96e54abbf65d61b30fc79d3a776c62ed1d01e2a0c918f51dd4ecaf00d1a07355b7c,31973,stale,VALID,1a0df0ca,,153210,true,false
153211,0000000000000364ff584a81aff5f3383413c9737c077d0e931ece2efba42b9a,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1323158652,1a0df0ca,70736a04caf00d1a0419548b3d522cfabe6d6d90d05557e5826c3c25ac19e139b9f77a25371cbd924de240fe32a9611865960f01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d00000000000056c8f555305697b393b543ac8147291af147d78e2fe80269bf843be7ef2516ba7cccdd4ecaf00d1a049b7d56,32044,stale,VALID,1a0df0ca,,153210,true,false
