chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note
namecoin,000000000000046143716f267137c3378d69f16848babe998da18bfb9e63e589,36546,b31e1604af21d1513ad29f67fc4de38ebaa13287134d78c777eee28c4d3c9fa5,1325752406,auxpow_parent_match,
namecoin,00000000000007faea25ea707fe00e2902d3d2d712ef2a8099e8da0574812dd0,36584,61715abd7ac5583f9f569075d73d3164611264e700daf96b328a15a553e4ae2c,1325773101,auxpow_parent_match,
namecoin,0000000000000dda7817e375839269b1cd72a31ec92cbd32d088ed41ded4baa5,37035,82d0ac75cd590683addebf7baa5c26a74275a86ee697bcd87a87c9105d65854b,1326024746,auxpow_parent_match,
namecoin,000000000000068ea2e4d6942ac939ee9a2434194107afaaef752125bd036cab,37135,cb4a1a2ba66a7d8b6412177550344a993caca158a26ca9f32a666038d76cf1b4,1326072465,auxpow_parent_match,
namecoin,000000000000070d5dec4dbb9984254ba851ac942e75b86fe9cd63305572c1e1,37505,625b0dff111c30b5a7aaeed6e3e9b9a42b5436006988c68546d48dc8940ea4c1,1326271565,auxpow_parent_match,
namecoin,000000000000031576ac64e6c3f16bbfc244675069e4ba0b80abc2867b394914,37511,d42183a17b176d471c35bd553dfc76bb49a4c9008198fea4a35578be848596d1,1326274567,auxpow_parent_match,
namecoin,000000000000021cd4ac470a5c1259d3eb9fe4be6e369582ecb558526554032d,37608,dac60f804af8d29784ee93ef5214ed7d1df07220eefe5947de41efbc7e76f9d2,1326326026,auxpow_parent_match,
namecoin,0000000000000223a6c6e074e399b2250bfd4a661281817af127268d88148d99,37716,4add5680d11eb43d806cc59017bdef0f2b66a7f62a5843e45366589a6f7fbaf2,1326379036,auxpow_parent_match,
namecoin,00000000000003c870ba69dcc86caf6387aa802e9ba0862d26a82b7bc503d210,37742,8135b5c7da269b46c979cbce3486dc052a591d6b9dc6f4f4638762af1d7037b9,1326399354,auxpow_parent_match,
namecoin,000000000000016e828da3cb6c451d204bb4f2215eb0e37e03e82e9bee68d992,37769,33faaf127273ef85ab8d7c192441adcaaff92322e9554787d0b7c12f3d4a51d7,1326411657,auxpow_parent_match,
namecoin,000000000000026807a77b351e969c4c9ff1b95158c013214e05c3ac09ed623c,37880,49a805923eab321d2187dc5e4299ce78637da29446fa5834012300dfcf484b37,1326467144,auxpow_parent_match,
namecoin,0000000000000773805745d21430d9df739e217d02244c7abcf801e7b076961d,38009,021bd60c6af4c65bc04010624c51babc0cbdb3a03654551e174b1d61f79642f4,1326533284,auxpow_parent_match,
namecoin,0000000000000459d7cde47677c0ee6e6ced9770b38b45cdb47261f331cdea01,38072,07ff49a52c9594e2e0255bc959a3760bbd1494366c50334508b8b6f15405c006,1326564348,auxpow_parent_match,
namecoin,0000000000000a5ba0a0fde42ce75259a69c920968acd2514db63325e3bd8760,38077,1df713a6ea6e9c4d60daab41ec2ae353848f34196797016add0d3ab4c62efa31,1326568051,auxpow_parent_match,
namecoin,0000000000000aefe3441e03f11ba7d4057e8767d9255187eb8c7bf493aae906,38198,3e5c904d23f736735cf1b02e021480c0dc4d95034af4f5c104439855a9f5a5f7,1326646602,auxpow_parent_match,
namecoin,0000000000000b285fa4f12b7617bed8cfb8cca03e2d5ee28b2f83f5b3a3cda5,38462,7e0552a47b7f2fa6597d00dfbe09854c267615fbd547b48daf9d2fb168325e6c,1326783014,auxpow_parent_match,
